,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
AEGN,N/A,684.22M,12.28,2.17,0.51,1.12,6.31,-3.01%,6.70%,4.31%,-5.15%,1.33B,35.59,1.00%,279.98M,133.39M,-1.07,-69.10%,135.93M,3.80,372.44M,59.50,2.45,17.02,77.55M,87.61M,1.29,-22.57%,25.52,15.31,18.30,17.92,"242,809","250,238",36.67M,7.30%,100.50%,809.14K,2.10,N/A,N/A
AEHR,N/A,28.13M,N/A,N/A,2.62,5.75,-3.72,-66.35%,-66.82%,-30.88%,-114.81%,10.02M,0.83,-66.10%,10.22M,-6.56M,-0.55,N/A,5.53M,0.43,3.79M,83.32,2.19,0.36,N/A,N/A,1.66,-18.98%,2.86,1.80,2.13,2.34,"14,663","8,063",12.67M,31.15%,8.60%,13.14K,1.00,N/A,N/A
AEPI,21.38,269.29M,N/A,N/A,0.22,3.57,7.81,1.06%,2.88%,4.74%,19.15%,1.19B,233.57,-3.10%,121.90M,66.46M,2.47,N/A,2.11M,0.41,227.23M,312.65,1.88,14.24,72.88M,60.05M,0.47,29.94%,62.75,35.20,55.29,53.15,"22,608","51,600",5.10M,44.94%,50.20%,92.74K,5.20,N/A,N/A
AERI,N/A,400.41M,N/A,N/A,N/A,8.25,-7.07,N/A,N/A,-29.02%,-105.87%,N/A,N/A,N/A,N/A,-60.55M,-2.42,N/A,169.74M,6.68,124.19M,255.43,7.64,1.92,-42.54M,-10.98M,N/A,-8.43%,35.89,8.84,18.27,22.02,"1,006,210","367,062",25.42M,47.57%,33.60%,3.98M,2.20,N/A,N/A
ACY,N/A,12.92M,6.33,N/A,0.50,0.35,12.49,-44.15%,12.98%,1.03%,-26.58%,24.71M,16.01,-11.10%,16.57M,10.97M,-7.07,103.50%,1.88M,1.22,126.11M,354.30,5.64,23.06,3.42M,-27.90M,1.05,-47.66%,15.36,7.61,8.07,9.84,"2,078",300,1.61M,41.57%,9.90%,2.60K,0.90,N/A,N/A
HIVE,N/A,351.79M,N/A,-0.56,2.45,7.65,-8.03,-27.94%,-26.21%,-21.56%,-181.87%,134.88M,2.95,-8.60%,92.53M,-32.88M,-0.82,N/A,92.66M,2.13,20.00M,43.46,2.84,0.99,-9.97M,-10.29M,N/A,-18.66%,9.61,3.43,7.36,5.85,"274,192","227,600",46.66M,1.75%,10.30%,2.88M,8.70,N/A,N/A
ARO,N/A,120.07M,N/A,-0.11,0.07,2.52,-2.56,-9.93%,-6.60%,-15.13%,-135.67%,1.76B,22.29,-19.50%,336.44M,-70.21M,-2.21,N/A,75.95M,0.96,141.08M,282.57,1.87,0.63,-51.17M,-16.34M,4.64,-55.19%,4.39,1.39,1.64,2.68,"2,368,800","1,338,060",79.51M,17.22%,86.50%,16.54M,5.70,N/A,N/A
AVAV,205.04,608.01M,81.38,-12.53,2.34,1.74,34.44,1.12%,0.95%,0.39%,0.84%,259.40M,11.34,17.70%,104.27M,10.82M,0.13,-12.10%,228.79M,9.98,0.00,N/A,7.04,15.23,39.41M,26.25M,0.90,-16.94%,33.85,24.73,26.91,26.55,"143,705","103,162",23.35M,14.41%,56.00%,1.21M,5.80,N/A,N/A
AES,9.36,8.63B,9.58,4.33,0.52,2.20,6.76,5.75%,16.74%,4.47%,18.18%,16.87B,23.59,-6.50%,3.09B,4.06B,1.35,N/A,1.92B,2.73,20.40B,289.99,1.16,5.72,2.08B,-907.12M,0.95,-13.19%,15.21,11.53,13.10,12.96,"6,038,560","4,181,810",682.44M,8.43%,86.50%,11.82M,2.20,3.10%,0.35
AET,19.26,40.57B,14.18,1.48,0.69,2.70,8.74,3.64%,7.30%,5.01%,14.60%,59.10B,167.68,7.90%,15.09B,4.95B,6.04,16.80%,4.16B,11.92,9.01B,59.58,0.80,43.11,3.42B,3.28B,0.34,53.49%,134.40,71.81,117.85,109.13,"3,533,550","3,004,260",348.60M,0.41%,91.60%,4.75M,0.90,0.90%,0.98
AMG,23.65,11.44B,13.72,1.02,4.49,4.49,13.08,19.70%,33.40%,7.55%,20.35%,2.55B,46.18,7.10%,N/A,992.70M,8.84,65.80%,631.10M,11.53,1.92B,44.87,820.21,46.74,1.21B,N/A,1.21,5.85%,230.63,174.43,216.33,217.41,"352,856","471,388",54.72M,0.92%,96.30%,534.35K,1.40,N/A,N/A
AFFY,1.07,3.30M,N/A,N/A,76.86,0.62,0.00,"7,300.00%","-114,659.53%",-228.91%,111.59%,42.00K,0.00,-92.00%,1.37M,-47.65M,0.08,-53.10%,3.40M,0.09,0.00,N/A,20.81,0.14,-8.37M,-41.41M,1.80,-10.00%,0.29,0.07,0.09,0.11,"37,286","34,363",37.49M,0.34%,1.80%,18.48M,2.30,N/A,0.05
AFFX,68.38,782.52M,25.95,1.66,2.27,2.67,20.69,3.11%,5.62%,2.49%,3.89%,354.77M,4.80,6.90%,205.86M,42.40M,0.15,N/A,104.01M,1.35,126.95M,42.13,3.92,3.90,40.22M,28.00M,-0.38,15.26%,13.11,7.00,11.01,11.78,"750,347","671,562",77.32M,14.37%,96.60%,7.78M,8.50,N/A,N/A
AFL,9.99,27.79B,10.13,2.54,1.24,1.48,6.72,12.97%,20.82%,2.36%,16.80%,22.22B,49.73,-6.80%,8.36B,4.68B,6.41,-9.40%,4.37B,10.07,8.92B,47.88,0.37,42.97,6.40B,197.38M,0.96,8.18%,65.10,54.99,62.45,62.47,"2,162,310","2,254,210",433.88M,2.97%,64.90%,6.21M,2.70,2.50%,1.54
MITT,6.31,487.16M,N/A,N/A,4.45,0.88,N/A,81.43%,79.08%,2.44%,12.63%,111.72M,3.94,-50.50%,N/A,N/A,2.72,-59.10%,71.26M,2.51,2.74B,378.25,0.10,19.86,93.57M,N/A,0.89,-9.25%,20.09,17.12,17.93,18.57,"214,269","211,175",28.39M,1.37%,58.60%,1.90M,6.80,13.50%,2.40
WGA,N/A,10.16M,N/A,N/A,0.53,0.92,-5.46,-28.26%,-3.05%,-2.01%,-17.45%,19.46M,1.66,-34.90%,4.25M,-552.00K,-0.47,11.30%,6.56M,0.56,0.00,N/A,7.43,0.96,-878.00K,9.60M,1.40,-33.08%,1.49,0.63,0.82,0.82,"12,944","18,825",11.68M,12.83%,12.60%,14.57K,0.80,N/A,N/A
AGCO,15.39,5.01B,18.25,1.92,0.54,1.62,6.64,3.75%,6.54%,4.77%,9.59%,9.09B,99.08,-27.00%,2.07B,870.20M,3.70,-69.80%,338.90M,3.85,1.51B,48.51,1.76,34.74,663.40M,682.80M,1.22,15.73%,57.26,41.56,54.49,50.35,"1,049,880","1,107,000",88.05M,8.98%,93.20%,14.17M,11.90,0.90%,0.46
AGEN,N/A,650.54M,N/A,N/A,41.79,12.10,-9.94,N/A,-418.86%,N/A,N/A,13.51M,0.20,107.40%,6.98M,-54.71M,-1.39,N/A,79.30M,1.11,11.50M,24.87,N/A,0.65,N/A,N/A,-0.50,124.71%,10.16,2.56,8.67,6.78,"1,665,750","1,054,590",84.16M,6.67%,51.10%,10.03M,4.90,N/A,N/A
AGRX,N/A,190.78M,N/A,N/A,N/A,3.85,-8.78,N/A,N/A,-32.85%,-99.19%,N/A,N/A,N/A,N/A,-23.03M,-1.48,N/A,53.87M,2.43,15.12M,31.02,11.29,2.20,-21.08M,-10.93M,N/A,30.59%,13.19,5.77,9.64,10.02,"90,220","51,263",22.24M,74.07%,1.60%,534.02K,4.00,N/A,N/A
A,41.92,13.32B,20.30,5.35,1.92,3.22,10.28,4.66%,12.89%,6.10%,10.89%,6.97B,20.88,-2.50%,3.59B,1.22B,0.95,-40.30%,2.20B,6.59,1.66B,39.80,3.89,12.48,1.16B,980.50M,1.12,1.28%,43.59,35.62,39.91,40.91,"2,485,700","1,827,100",333.19M,0.26%,85.00%,3.12M,1.10,1.00%,0.39
AGYS,N/A,222.46M,122.12,-13.28,2.16,1.80,-22.39,-11.11%,-8.64%,-3.00%,-8.95%,103.51M,4.63,3.50%,60.08M,-5.77M,-0.52,N/A,75.07M,3.34,189.00K,0.15,2.08,5.53,-2.19M,-13.18M,1.26,-21.15%,12.95,7.97,9.19,9.66,"37,850","42,325",22.77M,3.28%,80.50%,716.05K,14.70,N/A,N/A
AGIO,N/A,3.66B,N/A,N/A,40.94,8.74,-84.99,-50.70%,-51.61%,-8.96%,-16.86%,91.15M,2.60,306.60%,65.36M,-45.64M,-1.32,N/A,344.71M,9.24,0.00,N/A,10.01,11.45,-57.90M,-25.93M,1.98,143.24%,138.85,38.38,109.58,109.00,"602,919","465,150",37.30M,29.56%,61.30%,4.05M,5.40,N/A,N/A
GAS,14.87,5.84B,N/A,N/A,1.24,1.47,7.80,8.42%,18.63%,3.68%,11.25%,4.64B,39.03,-30.10%,1.68B,1.25B,3.28,-32.00%,49.00M,0.41,4.12B,104.06,0.88,32.74,922.00M,242.00M,0.28,-4.79%,57.75,46.36,47.77,49.81,"669,152","637,088",119.94M,0.54%,63.90%,1.62M,2.60,4.30%,2.00
ADC,24.40,530.00M,11.82,0.59,9.37,1.51,18.08,34.41%,57.71%,3.65%,6.18%,56.58M,3.64,25.50%,48.64M,44.66M,1.25,18.30%,7.92M,0.46,287.37M,81.44,0.74,20.17,35.93M,30.47M,0.86,3.08%,36.15,27.00,30.35,31.75,"90,031","93,763",17.38M,5.61%,68.50%,272.69K,2.40,6.10%,1.80
AL,18.25,3.73B,11.05,0.76,3.32,1.29,N/A,19.76%,58.65%,3.83%,7.97%,1.08B,10.58,13.00%,1.05B,N/A,1.99,-68.50%,210.16M,2.05,6.95B,249.71,0.91,27.16,798.28M,-1.31B,1.85,-1.57%,40.49,30.55,34.50,37.01,"680,342","1,039,210",102.58M,20.24%,77.30%,2.11M,3.70,0.50%,0.15
AIRM,16.36,1.61B,12.96,0.77,1.52,3.20,7.80,9.45%,18.03%,8.65%,22.81%,1.02B,26.07,7.80%,401.98M,264.51M,2.50,16.00%,24.78M,0.63,642.19M,130.14,2.38,12.38,194.93M,27.79M,1.88,-30.25%,60.62,35.00,40.96,44.10,"472,777","544,462",39.27M,9.10%,106.60%,10.37M,26.60,N/A,N/A
APD,30.64,31.40B,19.57,1.66,3.07,4.31,12.32,10.04%,17.19%,6.24%,13.25%,10.29B,48.09,-6.50%,2.80B,2.73B,4.77,2.30%,225.40M,1.05,5.93B,76.46,1.01,34.14,2.13B,126.54M,1.53,10.72%,158.20,118.20,138.59,146.88,"1,185,500","2,120,990",214.76M,0.25%,87.60%,3.29M,3.00,2.50%,3.16
AIRT,21.31,52.59M,N/A,N/A,0.47,1.79,11.90,2.21%,2.27%,3.95%,8.69%,112.18M,47.54,-2.30%,17.63M,3.40M,1.04,N/A,19.44M,8.20,5.00M,16.78,4.69,12.56,7.97M,6.46M,0.04,92.19%,28.00,10.68,23.22,21.40,"5,552","2,763",2.37M,27.96%,29.60%,11.72K,1.20,N/A,N/A
ATSG,19.68,636.69M,13.01,2.42,1.13,1.87,5.20,5.44%,12.63%,4.55%,9.40%,593.02M,9.22,2.40%,439.24M,187.19M,0.50,35.30%,20.61M,0.32,336.52M,94.15,1.04,5.49,166.32M,14.05M,1.67,13.49%,10.96,6.93,10.39,9.68,"288,534","207,050",65.23M,2.67%,85.40%,842.06K,3.10,N/A,N/A
AYR,13.69,1.90B,10.30,1.13,2.33,1.10,N/A,16.73%,57.09%,4.43%,8.14%,826.62M,10.28,10.40%,811.36M,N/A,1.71,649.00%,329.99M,4.07,4.11B,234.46,3.28,21.60,488.72M,99.63M,1.80,22.22%,25.52,15.50,23.18,23.06,"345,161","434,462",81.18M,27.76%,62.10%,3.00M,8.60,3.90%,0.86
ARG,21.39,7.74B,19.00,2.29,1.48,3.63,10.10,6.94%,12.12%,6.83%,18.44%,5.30B,71.01,2.70%,2.95B,972.04M,4.85,-0.70%,50.72M,0.67,2.40B,111.37,1.25,28.54,718.04M,223.79M,0.88,-4.83%,119.00,96.52,103.48,107.30,"725,561","622,975",74.62M,9.93%,83.30%,1.56M,1.90,2.40%,2.25
AKS,N/A,540.53M,15.20,-0.70,0.08,N/A,6.40,-4.61%,3.22%,3.38%,N/A,6.87B,43.41,26.60%,498.00M,451.40M,-2.00,N/A,89.40M,0.50,2.53B,N/A,1.87,-4.53,-200.50M,-246.70M,2.64,-69.07%,11.37,2.38,3.33,4.33,"9,563,700","14,264,000",177.81M,1.56%,58.60%,50.10M,5.80,N/A,N/A
AKAM,39.86,13.31B,26.24,2.06,6.52,4.46,18.54,16.64%,24.17%,8.06%,11.90%,2.04B,11.43,16.10%,1.35B,692.70M,1.87,6.80%,713.28M,4.00,609.65M,20.45,4.61,16.69,668.78M,261.08M,1.63,28.54%,78.44,51.74,72.32,71.43,"1,512,040","3,143,300",178.56M,3.21%,87.60%,3.53M,2.90,N/A,N/A
AKBA,N/A,268.18M,N/A,N/A,N/A,2.03,-2.23,N/A,N/A,-20.39%,-34.19%,N/A,N/A,N/A,N/A,-38.68M,-1.92,N/A,100.33M,5.48,0.00,N/A,11.62,4.70,-29.82M,-17.80M,N/A,-58.85%,26.77,7.27,9.74,9.51,"382,170","271,338",28.84M,33.00%,12.20%,1.34M,2.50,N/A,N/A
AKER,N/A,19.80M,N/A,N/A,5.36,1.42,-3.89,-102.39%,-104.99%,-14.90%,-25.00%,3.76M,0.76,-56.60%,3.25M,-3.61M,-0.78,N/A,8.39M,1.63,0.00,N/A,10.26,2.76,-4.29M,-1.80M,1.38,-1.28%,5.28,2.43,4.28,4.16,"25,067","28,563",5.14M,N/A,N/A,20.04K,1.10,N/A,N/A
AKRX,128.95,4.93B,18.17,0.92,8.26,12.42,29.86,5.96%,25.23%,8.00%,11.08%,593.08M,5.73,157.80%,297.59M,208.27M,0.33,71.80%,77.95M,0.68,1.12B,290.87,3.68,3.46,30.92M,-201.08M,1.28,23.06%,57.10,33.16,44.77,46.08,"1,440,620","1,195,000",114.43M,23.88%,78.00%,7.25M,4.00,N/A,N/A
ALG,14.65,581.66M,11.64,1.34,0.66,1.73,9.37,4.72%,7.78%,7.64%,12.00%,874.24M,74.89,20.40%,189.23M,81.37M,3.49,1.70%,36.66M,3.22,208.52M,62.97,4.28,29.36,36.69M,-12.75M,1.34,3.34%,64.45,37.93,53.44,54.74,"47,180","54,500",11.38M,25.99%,66.20%,205.85K,3.80,0.60%,0.31
ALK,14.24,9.98B,11.80,0.79,1.82,4.49,6.31,13.31%,20.61%,11.03%,32.99%,5.48B,41.53,4.50%,2.98B,1.43B,5.48,41.80%,1.19B,9.31,745.00M,33.57,0.86,17.33,N/A,N/A,1.01,77.73%,80.53,40.69,71.25,66.60,"1,389,710","1,093,620",128.02M,0.61%,92.40%,8.68M,5.60,1.10%,0.65
ALSK,7.79,108.01M,43.00,-0.20,0.35,0.69,N/A,4.57%,-0.07%,-0.02%,9.62%,302.32M,6.10,-16.00%,133.89M,32.51M,0.28,N/A,57.83M,1.15,193.69M,126.09,1.43,3.06,39.57M,-25.29M,-0.95,22.16%,2.58,1.18,2.23,2.04,"278,972","107,475",50.24M,2.57%,20.00%,298.63K,1.20,N/A,N/A
AIN,24.85,1.07B,17.29,1.51,1.46,2.25,8.57,5.78%,12.42%,5.39%,8.36%,746.36M,23.43,0.60%,291.64M,150.21M,1.35,15.00%,170.84M,5.34,284.64M,58.51,2.57,15.11,81.76M,70.45M,1.42,-11.03%,41.58,31.92,38.47,38.82,"86,489","164,288",28.80M,1.28%,94.40%,389.52K,4.50,1.90%,0.65
AMRI,N/A,787.89M,20.39,1.33,2.30,2.85,24.66,-3.01%,4.94%,1.72%,-3.64%,299.07M,9.37,37.90%,67.38M,34.85M,-0.28,N/A,28.51M,0.89,200.91M,83.06,3.53,7.55,14.35M,-16.54M,1.06,10.29%,23.95,13.73,20.63,18.83,"434,053","368,988",37.52M,14.30%,88.00%,8.13M,21.10,N/A,N/A
ALB,36.68,5.75B,12.38,1.06,2.13,1.87,18.44,4.39%,13.55%,3.46%,8.51%,2.73B,31.82,47.40%,770.85M,506.45M,1.40,-23.80%,261.42M,2.33,4.01B,123.58,1.16,27.72,389.23M,311.10M,1.24,-15.85%,65.45,46.78,54.14,56.27,"1,036,310","1,658,920",112.19M,0.38%,82.00%,3.66M,3.60,2.30%,1.13
ABDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,19.60,12.33B,10.12,1.21,0.50,0.99,5.17,2.64%,11.92%,4.97%,4.82%,24.33B,20.20,1.00%,4.77B,3.78B,0.48,1.40%,1.31B,1.07,8.79B,60.04,1.50,10.02,2.00B,616.75M,0.79,-41.88%,17.75,9.36,10.58,13.08,"20,086,400","24,586,500",1.31B,0.12%,67.40%,77.98M,3.70,1.20%,0.12
ALDR,N/A,1.79B,N/A,-1.03,33.16,7.01,7.71K,-0.70%,-1.02%,-0.25%,-0.35%,49.92M,1.69,N/A,54.70M,198.00K,-0.02,N/A,230.26M,6.07,0.00,N/A,36.49,6.23,-54.15M,-24.68M,N/A,191.77%,54.90,10.52,47.77,35.27,"917,731","561,312",42.43M,27.12%,7.80%,3.06M,2.20,N/A,N/A
ALDX,N/A,79.40M,N/A,N/A,N/A,4.06,N/A,N/A,N/A,-54.02%,-106.94%,N/A,N/A,N/A,N/A,N/A,-2.27,N/A,15.72M,2.52,1.26M,9.13,15.34,2.01,-5.56M,-2.44M,N/A,91.67%,13.50,3.31,8.61,9.40,"41,948","32,438",9.59M,14.65%,0.30%,25.64K,0.80,N/A,N/A
ALR,26.66,4.25B,17.52,2.05,1.66,2.90,13.38,6.91%,7.84%,1.90%,-8.71%,2.56B,30.71,-2.70%,1.22B,527.17M,1.87,N/A,414.67M,4.87,3.13B,151.19,2.18,17.21,154.00M,254.05M,1.06,43.87%,54.58,33.92,51.55,48.55,"541,383","837,650",85.39M,8.16%,89.70%,3.07M,4.80,N/A,N/A
ALEX,34.24,1.75B,26.61,2.37,2.96,1.48,18.99,8.39%,12.54%,2.11%,4.49%,615.90M,12.64,59.00%,117.50M,132.30M,1.05,-27.70%,3.40M,0.07,663.80M,53.58,1.21,25.13,95.30M,22.99M,1.63,-9.02%,43.68,32.15,38.85,40.19,"166,798","149,625",48.85M,7.01%,73.90%,1.22M,6.10,0.50%,0.20
ALX,27.98,1.97B,17.36,N/A,9.70,5.66,22.56,34.67%,47.46%,4.18%,20.49%,203.38M,39.79,5.20%,130.92M,125.81M,13.79,16.90%,239.32M,46.87,1.03B,295.86,1.14,68.31,54.27M,41.81M,0.56,2.12%,486.25,366.51,409.27,430.53,"4,816","6,850",5.11M,58.85%,36.70%,46.91K,8.60,3.50%,13.75
ARE,116.05,6.67B,16.87,1.96,8.87,1.93,22.92,11.56%,31.18%,1.81%,2.30%,748.57M,10.51,12.00%,507.71M,463.04M,0.80,-38.00%,90.64M,1.26,3.91B,102.91,1.49,47.71,367.91M,-8.00K,0.33,19.27%,102.96,72.91,91.39,94.14,"310,864","287,038",72.04M,1.52%,107.00%,1.00M,3.10,3.30%,2.97
ALXN,64.96,42.50B,31.76,2.33,16.70,10.77,44.24,25.97%,36.42%,13.24%,18.94%,2.27B,11.42,6.00%,2.06B,866.92M,2.92,-42.70%,1.93B,9.65,160.41M,4.56,4.92,17.61,694.16M,466.75M,1.18,17.21%,208.88,150.06,194.10,180.25,"1,918,600","1,500,750",224.12M,0.72%,97.60%,6.29M,2.60,N/A,N/A
ALXA,N/A,19.62M,N/A,N/A,4.88,N/A,-1.70,N/A,-982.32%,-39.17%,N/A,4.10M,0.22,-67.50%,-10.36M,-36.83M,-1.44,N/A,22.52M,1.16,64.16M,N/A,3.31,-2.66,-43.08M,-29.03M,-0.92,-72.10%,4.22,0.80,1.10,1.62,"69,259","35,850",19.42M,4.17%,47.20%,838.61K,16.20,N/A,N/A
ALCO,21.70,345.28M,N/A,N/A,3.41,2.07,30.96,13.98%,10.29%,1.99%,9.17%,104.35M,13.75,35.60%,20.09M,19.76M,1.92,-40.50%,3.04M,0.37,233.08M,131.79,3.49,20.75,16.57M,-41.48M,1.05,9.10%,58.10,34.67,46.02,47.88,"21,775","28,338",8.28M,8.89%,78.30%,215.84K,6.90,0.50%,0.24
ALGN,34.10,4.90B,29.20,1.90,6.15,6.35,20.83,18.26%,24.42%,12.69%,20.10%,795.75M,9.90,8.80%,578.44M,211.63M,1.78,-11.90%,438.54M,5.46,0.00,N/A,2.95,9.59,N/A,N/A,1.65,11.90%,66.53,43.27,62.93,58.88,"790,234","709,388",80.75M,15.18%,80.20%,7.20M,8.00,N/A,N/A
ALIM,N/A,183.36M,N/A,N/A,19.05,N/A,-4.95,-242.72%,-355.13%,-31.63%,-97.39%,10.28M,0.24,89.00%,6.98M,-35.32M,-0.60,N/A,61.33M,1.38,34.53M,85.12,5.86,-0.64,-32.78M,-44.32M,0.59,-24.91%,6.54,3.98,4.68,4.81,"97,378","81,500",44.40M,51.71%,42.50%,2.03M,21.30,N/A,N/A
ALKS,N/A,9.99B,N/A,-4.68,15.50,7.08,-18.01K,-5.60%,-15.17%,-3.28%,-2.64%,649.79M,4.44,23.80%,442.96M,-538.00K,-0.25,N/A,747.46M,5.03,356.39M,25.09,8.79,9.57,16.69M,42.75M,1.21,60.87%,75.17,38.49,66.99,65.20,"963,239","810,312",148.63M,0.63%,95.80%,8.60M,6.70,N/A,N/A
Y,13.38,7.91B,18.35,2.07,1.55,1.04,8.02,11.75%,18.04%,2.44%,8.13%,5.10B,314.25,-10.00%,1.32B,1.11B,36.92,-38.90%,1.05B,65.69,1.81B,23.68,1.64,476.87,705.84M,1.26B,1.05,18.19%,506.95,405.70,487.36,479.25,"71,477","52,500",16.00M,3.89%,85.10%,67.83K,1.00,N/A,N/A
ATI,157.59,2.29B,13.18,-14.37,0.55,0.91,11.47,0.35%,3.08%,1.26%,0.89%,4.27B,39.79,-8.60%,378.60M,314.40M,0.13,N/A,250.90M,2.30,1.52B,56.07,2.68,23.67,184.90M,30.33M,2.53,-48.03%,43.28,20.42,26.05,30.71,"1,775,580","1,662,880",109.20M,1.02%,79.50%,6.00M,2.60,3.40%,0.72
ALGT,32.97,3.77B,16.87,0.79,3.31,12.73,10.66,10.09%,22.93%,15.13%,36.21%,1.16B,66.53,8.70%,384.04M,349.39M,6.67,89.50%,402.51M,23.41,617.26M,203.32,1.21,17.59,325.38M,-11.63M,-0.46,80.22%,232.67,104.52,196.83,179.63,"178,791","254,450",17.15M,22.68%,78.20%,722.67K,3.80,0.50%,3.00
AGN,N/A,126.13B,14.94,1.13,8.56,1.89,34.64,-15.29%,9.57%,1.08%,-5.53%,14.64B,58.89,59.50%,6.40B,4.71B,-9.10,N/A,2.13B,5.43,44.32B,62.07,1.44,169.45,2.33B,3.18B,0.82,58.37%,340.34,201.91,316.20,299.18,"2,214,610","2,818,980",392.87M,9.90%,88.10%,5.05M,2.80,0.10%,N/A
ALE,17.29,2.48B,15.11,2.57,2.02,1.33,10.63,11.31%,17.16%,2.99%,8.29%,1.16B,26.21,7.90%,324.50M,326.80M,2.96,19.10%,72.10M,1.54,1.38B,77.72,0.97,37.72,266.70M,-253.85M,1.02,7.11%,59.73,44.19,47.84,51.16,"319,786","293,838",48.45M,0.74%,68.90%,1.20M,4.10,4.40%,1.99
ADS,33.66,16.76B,15.66,1.25,2.82,8.51,19.12,8.90%,21.17%,4.63%,30.79%,5.91B,97.10,18.60%,1.66B,1.61B,8.03,-4.50%,822.30M,13.28,14.65B,668.13,N/A,31.65,1.32B,N/A,1.41,2.81%,312.00,230.54,290.83,292.73,"434,961","456,075",62.05M,2.50%,107.10%,2.53M,6.50,N/A,N/A
AFOP,24.65,339.49M,13.88,0.58,4.03,3.63,13.60,17.11%,24.81%,11.53%,15.68%,83.61M,4.60,3.50%,34.22M,23.47M,0.78,33.30%,57.91M,3.25,0.00,N/A,4.25,5.22,N/A,N/A,0.77,34.67%,22.35,10.75,19.74,18.34,"177,667","149,875",17.73M,25.97%,30.60%,999.66K,5.40,0.70%,0.15
AIQ,15.48,157.37M,N/A,N/A,0.37,N/A,5.67,2.37%,13.43%,7.27%,N/A,440.45M,41.24,3.90%,198.97M,117.93M,0.96,-9.30%,31.49M,2.99,534.33M,N/A,1.58,-15.95,102.45M,48.92M,0.85,-49.39%,31.01,13.65,16.99,20.90,"19,684","28,250",10.59M,53.56%,42.20%,114.47K,5.50,N/A,N/A
AHGP,7.82,2.21B,8.83,0.61,0.95,3.85,3.62,12.18%,22.71%,14.71%,49.92%,2.32B,38.73,3.40%,890.93M,815.38M,4.72,-2.80%,30.30M,0.51,861.59M,82.70,0.87,9.62,756.36M,268.41M,0.21,-47.53%,74.00,34.52,38.02,47.74,"104,745","117,650",59.86M,71.74%,25.80%,541.41K,3.70,10.60%,2.75
AOI,N/A,183.80M,N/A,N/A,0.09,0.79,8.00,-0.75%,5.36%,4.02%,-6.08%,2.07B,233.99,19.90%,255.08M,139.44M,-1.75,N/A,143.85M,16.24,1.07B,453.77,2.15,26.30,-55.19M,-54.59M,0.38,-8.59%,26.47,8.30,22.90,15.25,"188,042","85,088",8.86M,9.39%,76.10%,124.30K,0.90,N/A,N/A
ARLP,5.12,1.75B,6.94,-1.53,0.76,1.35,3.12,14.92%,22.90%,14.86%,50.58%,2.32B,31.31,3.40%,891.33M,819.89M,4.60,-15.70%,26.40M,0.36,861.59M,82.97,0.86,17.47,760.72M,268.97M,1.07,-50.77%,50.65,22.76,24.43,31.72,"332,330","519,712",74.19M,43.42%,29.10%,1.97M,5.50,11.40%,2.63
AB,14.49,2.82B,12.58,1.50,12.94,1.73,N/A,89.10%,100.00%,8.53%,12.21%,213.52M,2.18,24.80%,N/A,N/A,1.94,26.10%,N/A,N/A,0.00,N/A,N/A,15.94,180.64M,N/A,1.73,11.00%,32.74,22.40,28.57,29.26,"237,278","279,425",100.22M,5.81%,28.60%,1.06M,4.60,6.80%,1.95
LNT,18.11,6.86B,15.85,3.07,2.08,1.90,10.54,11.28%,16.46%,2.92%,10.21%,3.29B,29.72,-5.80%,1.03B,989.30M,3.35,-10.60%,97.60M,0.86,3.83B,100.85,0.89,31.84,912.70M,-193.79M,0.49,8.82%,70.80,54.69,59.75,62.00,"604,091","737,862",112.98M,0.18%,61.50%,1.62M,2.70,3.70%,2.16
ATK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPI,N/A,12.21M,N/A,N/A,0.35,0.60,-37.12,-4.44%,-4.47%,-3.80%,-7.28%,36.15M,4.50,-6.70%,7.31M,-294.56K,-0.20,N/A,1.83M,0.23,0.00,N/A,3.49,2.64,498.88K,955.18K,-0.31,-25.85%,3.70,1.29,1.54,1.56,"9,106","2,863",8.03M,44.54%,38.50%,21.92K,3.10,N/A,N/A
AMOT,12.00,177.14M,N/A,N/A,0.72,3.21,7.79,5.90%,10.13%,9.41%,27.64%,248.83M,27.15,-1.40%,73.43M,32.60M,1.59,38.50%,11.04M,1.19,73.67M,132.21,1.99,5.99,21.20M,19.77M,2.33,53.05%,42.63,11.55,21.53,27.04,"104,772","57,463",9.29M,43.51%,16.40%,186.57K,1.30,0.50%,0.10
ANV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
