,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
BXP,33.47,18.44B,20.51,3.25,7.53,3.32,18.96,22.75%,34.85%,2.81%,8.74%,2.46B,16.10,9.70%,1.53B,1.49B,3.59,206.90%,1.06B,6.94,10.07B,124.25,4.65,36.39,772.79M,338.44M,0.05,-0.40%,146.07,112.75,123.95,133.24,"781,842","868,488",153.42M,0.77%,103.20%,2.10M,2.40,2.10%,7.10
BSX,N/A,23.18B,16.47,1.70,3.22,3.55,15.76,-2.13%,14.01%,3.79%,-2.36%,7.27B,5.46,-1.60%,5.17B,1.75B,-0.12,"2,450.00%",903.00M,0.67,5.11B,77.69,1.95,4.90,N/A,N/A,1.17,41.03%,18.62,11.10,17.65,17.20,"9,031,730","7,741,150",1.34B,0.73%,88.30%,20.19M,2.10,N/A,N/A
BMY,59.21,105.74B,28.31,1.75,6.47,7.01,24.15,10.93%,23.67%,7.40%,12.05%,16.38B,9.86,7.00%,11.95B,4.63B,1.07,N/A,5.48B,3.28,7.37B,48.20,1.76,9.07,2.17B,1.24B,0.88,29.17%,70.54,47.55,67.05,65.10,"6,630,240","5,195,510",1.67B,0.13%,71.80%,24.80M,4.20,2.20%,1.47
BRCM,44.10,30.07B,16.44,2.62,3.49,3.30,16.92,8.19%,16.70%,7.41%,7.90%,8.50B,14.31,3.70%,4.33B,1.74B,1.14,26.70%,2.95B,4.94,1.59B,17.70,3.78,15.06,1.29B,717.00M,0.56,33.97%,57.70,34.50,51.91,47.59,"10,265,800","6,795,740",597.62M,0.37%,85.80%,8.75M,1.20,1.10%,0.52
BF-B,34.21,22.73B,N/A,N/A,7.32,12.14,19.93,21.83%,33.60%,15.87%,34.75%,3.13B,14.81,7.30%,2.18B,1.10B,3.21,6.00%,370.00M,1.79,1.19B,62.36,2.35,9.13,608.00M,403.25M,0.46,19.29%,111.06,81.89,103.20,94.99,"506,319","514,262",122.48M,N/A,N/A,3.87M,6.80,1.60%,1.23
CHRW,21.84,10.04B,18.36,1.99,0.75,9.60,12.60,3.40%,5.68%,15.42%,45.40%,13.63B,92.95,5.00%,2.01B,823.15M,3.15,14.30%,135.78M,0.93,1.13B,106.80,1.12,7.26,599.38M,579.97M,0.40,1.98%,77.49,61.46,65.01,68.46,"1,519,760","1,865,260",145.84M,0.70%,82.90%,11.89M,9.20,2.40%,1.49
CA,15.37,12.83B,11.59,-7.23,3.03,2.20,8.31,20.17%,29.26%,6.82%,14.12%,4.17B,9.52,-8.60%,3.35B,1.34B,1.89,-2.30%,2.82B,6.44,1.26B,21.94,1.39,13.12,1.00B,1.01B,1.18,2.04%,33.42,25.25,29.83,31.09,"2,699,530","2,779,490",441.30M,28.35%,62.60%,17.75M,7.50,3.40%,1.00
CVC,26.51,9.28B,27.47,26.57,1.12,N/A,8.88,4.10%,14.53%,8.91%,N/A,6.50B,24.44,2.50%,3.32B,1.81B,0.97,-50.30%,884.42M,3.21,9.72B,N/A,1.03,-18.25,1.31B,343.05M,0.70,43.29%,28.95,16.94,25.99,21.67,"4,107,400","4,350,050",221.45M,5.05%,110.00%,31.97M,9.00,2.30%,0.60
COG,N/A,10.30B,43.68,2.96,6.25,4.90,30.64,-6.44%,-15.21%,-2.99%,-4.76%,1.68B,4.06,-36.40%,1.65B,422.93M,-0.26,N/A,N/A,N/A,2.00B,92.97,0.91,5.19,1.09B,-1.35B,0.47,-26.96%,35.64,24.82,29.00,30.48,"5,270,000","5,510,860",413.60M,1.29%,93.80%,19.66M,4.70,0.30%,0.08
CAM,14.49,9.48B,15.81,1.50,0.96,2.17,6.36,6.70%,13.09%,6.45%,4.83%,9.98B,51.03,N/A,2.92B,1.67B,3.41,N/A,1.73B,9.04,2.84B,53.56,2.19,23.07,989.00M,1.19B,0.82,-31.55%,74.89,39.52,50.86,49.27,"2,599,300","2,231,040",191.51M,1.03%,97.20%,6.80M,2.40,N/A,N/A
CPB,20.87,15.61B,19.87,9.85,1.90,9.83,12.31,9.22%,14.59%,9.56%,47.73%,8.24B,26.31,-3.60%,2.90B,1.51B,2.41,-1.10%,230.00M,0.74,3.80B,239.43,0.82,5.14,1.11B,625.25M,0.86,16.50%,50.54,41.15,48.29,46.93,"1,335,410","1,249,380",310.52M,43.55%,42.60%,10.88M,8.70,2.60%,1.25
COF,11.41,44.16B,10.39,2.28,2.38,0.95,N/A,22.02%,36.17%,1.34%,9.02%,18.60B,33.67,-4.60%,N/A,N/A,7.08,-27.70%,7.16B,13.12,45.77B,N/A,N/A,85.52,N/A,N/A,1.10,2.68%,92.10,72.77,86.40,82.34,"2,996,220","3,508,680",546.42M,0.47%,91.60%,7.40M,3.00,2.00%,1.40
CAH,24.91,28.15B,14.77,1.70,0.29,4.41,11.15,1.18%,2.14%,4.97%,17.89%,97.88B,292.83,18.40%,5.16B,2.54B,3.42,15.90%,3.18B,9.62,4.00B,62.85,1.20,19.24,2.39B,2.18B,0.51,19.43%,91.91,70.54,85.55,87.23,"2,456,660","3,271,950",330.83M,10.35%,77.90%,6.82M,2.40,1.90%,1.42
HSIC,26.41,12.11B,21.94,2.22,1.17,4.45,14.86,4.49%,6.98%,7.68%,15.34%,10.40B,124.06,1.40%,2.91B,879.35M,5.48,1.30%,59.20M,0.71,831.37M,25.12,1.81,32.59,621.10M,568.38M,0.94,24.44%,149.95,109.34,145.94,141.82,"395,350","405,500",83.62M,1.99%,95.40%,2.17M,5.60,N/A,N/A
KMX,22.01,12.93B,18.12,1.31,0.89,3.96,19.96,4.20%,6.86%,4.82%,18.46%,14.53B,68.32,7.10%,1.89B,1.12B,2.82,7.30%,351.76M,1.69,9.49B,289.68,2.67,15.69,-641.50M,296.42M,1.04,22.83%,75.40,43.27,66.12,68.07,"1,501,670","1,314,420",208.04M,0.48%,100.40%,10.35M,5.30,N/A,N/A
CCL,28.35,40.57B,16.04,1.11,2.57,1.74,14.20,9.05%,11.02%,2.75%,6.00%,15.79B,20.33,-1.20%,5.48B,3.37B,1.84,126.50%,300.00M,0.39,8.31B,35.74,0.19,29.89,4.04B,288.00M,0.26,41.43%,54.05,33.11,51.00,47.16,"3,302,520","3,827,520",594.01M,0.11%,26.60%,10.40M,2.60,2.30%,1.00
CAT,13.20,46.66B,16.95,1.25,0.88,2.73,8.97,6.81%,10.54%,4.09%,18.95%,52.81B,87.17,-13.00%,14.79B,8.67B,5.86,-28.90%,6.47B,10.72,38.32B,223.30,1.49,28.34,7.28B,2.45B,0.98,-26.04%,109.73,74.77,81.91,83.57,"4,927,070","6,872,710",603.64M,0.25%,66.10%,29.31M,7.60,4.00%,2.87
CBG,24.50,12.47B,16.22,1.45,1.35,5.52,14.07,5.52%,8.63%,6.89%,24.86%,9.24B,27.91,10.30%,999.70M,1.07B,1.53,37.40%,444.00M,1.34,2.95B,127.93,1.21,6.81,751.90M,-136.61M,0.96,21.39%,39.77,27.49,37.63,36.72,"1,558,220","1,518,550",332.98M,1.28%,95.90%,3.69M,2.40,N/A,N/A
CBS,9.38,24.77B,N/A,N/A,1.87,4.04,10.59,21.00%,21.00%,7.23%,17.30%,13.74B,26.00,-2.00%,13.81B,3.16B,5.37,-15.80%,331.00M,0.67,7.71B,120.59,1.69,12.92,1.19B,1.25B,1.92,-16.35%,63.95,47.83,54.59,58.77,"4,390,100","7,633,410",454.32M,2.28%,88.00%,12.63M,3.10,1.10%,0.60
CELG,48.69,102.00B,21.61,1.08,12.05,15.05,33.22,26.08%,33.60%,N/A,N/A,8.43B,10.56,21.60%,7.28B,3.21B,2.64,-40.40%,7.31B,9.22,6.82B,100.80,N/A,8.51,N/A,N/A,2.04,48.02%,140.72,83.16,126.12,119.18,"4,468,320","4,059,610",793.14M,0.24%,82.10%,14.22M,3.00,N/A,N/A
CNP,14.84,8.23B,16.79,9.51,0.97,1.79,8.07,6.56%,10.55%,2.49%,12.39%,8.50B,19.77,-23.10%,2.34B,1.89B,1.29,-29.20%,1.18B,2.74,8.57B,187.41,0.84,10.63,1.68B,49.75M,0.59,-21.43%,25.56,18.20,19.09,20.49,"3,727,020","3,269,890",430.21M,0.62%,79.00%,8.10M,2.10,5.40%,0.97
CTL,20.54,15.59B,11.72,-10.28,0.88,1.07,5.28,4.24%,14.46%,3.22%,4.82%,17.94B,31.74,-1.90%,10.18B,6.84B,1.35,-5.40%,155.00M,0.28,20.52B,138.96,0.97,26.11,5.14B,2.17B,1.04,-31.34%,41.99,26.48,29.59,34.19,"5,309,470","7,159,760",563.75M,0.51%,75.90%,40.93M,7.00,7.70%,2.16
CERN,42.97,21.88B,25.23,1.74,6.37,6.05,23.33,14.66%,22.03%,10.18%,14.86%,3.53B,10.31,28.00%,2.80B,1.00B,1.48,-7.20%,684.16M,1.99,626.17M,16.88,2.41,10.79,905.49M,212.74M,0.83,13.09%,75.72,54.97,69.59,70.01,"2,283,170","4,395,820",344.08M,11.27%,85.60%,13.07M,7.50,N/A,N/A
CF,16.04,13.87B,11.40,1.17,3.25,3.69,8.71,19.99%,34.26%,8.16%,19.58%,4.56B,18.45,-15.80%,1.78B,1.97B,3.68,-67.50%,1.78B,7.56,4.59B,103.94,1.82,17.08,1.19B,84.07M,0.79,19.34%,70.32,47.89,62.25,60.72,"2,879,140","2,420,000",235.34M,0.41%,95.20%,7.37M,3.00,2.00%,1.20
SCHW,36.76,46.01B,23.05,1.37,7.55,4.08,N/A,21.72%,34.42%,N/A,N/A,6.10B,4.68,4.80%,6.06B,N/A,0.95,9.00%,29.05B,22.12,2.90B,23.81,N/A,8.59,N/A,N/A,1.18,26.42%,35.72,23.35,33.88,31.21,"7,333,820","7,633,260",1.31B,13.54%,77.80%,27.84M,3.60,0.70%,0.24
CHK,N/A,5.52B,N/A,0.54,0.29,0.54,2.62,-12.04%,15.10%,4.58%,-12.97%,18.66B,28.29,-45.30%,7.08B,5.75B,-33.88,N/A,2.91B,4.38,11.54B,80.30,1.01,15.10,3.77B,-2.33B,1.21,-68.50%,27.24,6.85,10.13,14.47,"23,156,500","30,398,600",663.55M,1.24%,81.60%,194.24M,9.20,4.20%,0.26
CVX,9.14,157.49B,15.37,-3.99,0.92,1.03,6.01,9.96%,8.48%,3.49%,11.26%,173.71B,92.55,-37.90%,55.54B,31.80B,9.16,-43.10%,13.11B,6.97,33.93B,21.61,1.40,82.85,25.38B,-9.53B,1.23,-34.42%,129.53,82.89,93.40,103.06,"7,675,330","10,800,800",1.88B,0.02%,64.10%,17.17M,2.30,4.70%,4.28
CMG,45.88,23.33B,36.31,2.05,5.26,10.37,22.95,11.59%,18.69%,20.41%,25.71%,4.44B,143.10,14.10%,1.12B,950.72M,16.33,27.10%,879.23M,28.23,0.00,N/A,3.79,72.28,722.77M,445.23M,0.82,10.08%,758.61,597.33,670.49,659.78,"556,006","450,000",31.14M,1.76%,91.70%,1.39M,2.90,N/A,N/A
CB,14.63,28.43B,16.10,1.73,2.01,1.78,9.33,14.27%,22.31%,N/A,N/A,14.16B,60.18,-2.30%,7.11B,3.21B,8.56,-1.00%,1.27B,5.60,3.30B,20.42,N/A,70.35,N/A,N/A,1.23,41.06%,129.44,88.34,116.91,104.21,"1,980,520","1,799,620",227.00M,0.31%,83.40%,1.91M,0.60,1.90%,2.14
CI,18.35,37.54B,15.39,1.37,1.05,3.46,10.49,5.87%,9.95%,3.94%,19.31%,35.88B,137.72,11.40%,13.58B,3.89B,7.95,0.90%,2.79B,10.85,6.06B,54.90,0.92,42.48,2.17B,3.36B,0.38,62.04%,170.68,85.75,154.22,133.67,"3,205,080","2,660,850",257.37M,2.73%,89.20%,2.57M,0.60,N/A,0.04
XEC,N/A,10.39B,66.02,27.00,4.53,2.42,7.35,-2.11%,25.71%,4.54%,-1.12%,2.19B,25.49,-39.80%,1.85B,1.42B,-0.63,N/A,120.93M,1.38,1.50B,36.71,1.01,46.61,1.38B,-1.06B,1.62,-20.40%,145.26,91.74,107.53,113.10,"1,169,510","1,476,190",93.67M,1.59%,91.50%,4.23M,3.80,0.60%,0.64
CINF,16.27,9.09B,20.57,-2.80,1.80,1.37,10.15,11.15%,16.43%,2.81%,8.80%,5.04B,30.80,8.10%,788.00M,880.00M,3.40,40.70%,665.00M,4.05,874.00M,13.23,1.33,40.22,959.00M,573.00M,1.00,17.65%,56.00,45.09,53.14,52.37,"579,481","884,462",164.36M,9.08%,62.30%,3.23M,5.00,3.50%,1.80
CTAS,24.07,10.00B,20.48,1.86,2.18,5.04,12.07,9.62%,15.56%,10.06%,19.78%,4.48B,38.63,-1.30%,1.92B,851.49M,3.63,-17.30%,433.15M,3.88,1.30B,67.27,2.80,17.30,580.28M,360.06M,0.73,34.51%,88.23,62.65,85.73,83.57,"559,164","518,838",114.40M,17.25%,77.90%,3.90M,7.00,1.00%,1.70
CSCO,16.36,143.17B,12.35,1.37,2.95,2.44,8.22,18.30%,22.91%,6.70%,15.54%,48.68B,9.52,5.10%,27.77B,13.50B,1.72,11.70%,54.42B,10.70,21.00B,35.70,2.98,11.55,12.03B,8.85B,1.13,11.57%,30.31,22.49,28.01,28.38,"23,904,900","18,803,200",5.09B,0.07%,74.90%,43.87M,1.90,3.00%,0.80
C,14.65,174.30B,9.70,0.32,2.51,0.85,N/A,18.36%,28.59%,0.69%,5.98%,69.73B,23.03,1.10%,69.27B,N/A,3.95,"2,577.30%",668.07B,221.97,414.76B,N/A,N/A,68.27,N/A,N/A,1.36,19.67%,60.95,46.60,57.08,53.76,"17,327,700","12,118,400",3.01B,0.03%,70.50%,33.58M,1.90,0.30%,0.12
CTXS,55.26,12.06B,18.49,1.52,3.85,5.77,17.11,7.13%,12.91%,4.75%,8.15%,3.15B,19.23,1.30%,2.52B,673.23M,1.36,-48.40%,983.32M,6.14,1.40B,66.46,1.02,13.12,849.98M,610.54M,1.31,9.09%,77.71,56.47,71.24,65.99,"1,892,730","2,639,340",160.29M,0.64%,102.40%,3.47M,2.00,N/A,N/A
CLX,28.09,15.51B,22.95,3.60,2.76,51.80,14.34,9.86%,17.30%,14.26%,321.69%,5.67B,43.57,2.60%,2.36B,1.13B,4.21,27.00%,378.00M,2.88,2.17B,717.22,1.15,2.31,832.00M,721.75M,0.55,32.81%,119.75,87.92,109.87,108.92,"732,456","1,151,250",131.18M,0.25%,77.90%,8.46M,12.30,2.80%,2.99
CME,27.47,32.82B,22.51,2.03,10.31,1.55,16.25,37.47%,58.02%,1.77%,5.62%,3.18B,9.49,8.40%,2.99B,2.07B,3.54,23.80%,1.77B,5.25,2.85B,13.52,1.04,62.80,1.33B,1.17B,0.83,32.53%,100.87,72.25,96.26,94.20,"1,360,480","1,272,460",337.56M,5.59%,75.40%,7.02M,5.00,2.10%,3.94
CMS,20.47,9.46B,17.02,2.67,1.41,2.46,9.86,6.90%,16.69%,3.75%,12.23%,6.65B,24.22,-8.00%,2.09B,1.79B,1.67,-19.30%,477.00M,1.72,8.67B,224.96,1.40,13.80,1.77B,-122.75M,0.23,17.20%,38.66,29.06,33.18,34.27,"2,985,280","2,282,480",276.67M,0.80%,87.40%,7.87M,2.60,3.50%,1.14
COH,19.65,9.14B,15.17,-6.50,2.02,3.43,7.26,10.78%,18.86%,12.60%,18.90%,4.32B,15.71,-15.50%,3.30B,1.00B,1.68,-53.80%,2.02B,7.32,896.70M,35.30,4.19,9.20,1.07B,852.05M,0.81,-8.60%,43.87,29.92,33.04,37.84,"4,113,970","6,133,550",276.29M,0.91%,89.30%,24.61M,6.20,4.40%,1.35
KO,24.46,182.06B,19.61,4.86,3.99,6.42,15.96,16.51%,23.00%,6.95%,24.05%,45.72B,10.46,-3.30%,28.11B,12.48B,1.71,19.80%,20.95B,4.82,44.31B,154.72,1.14,6.53,11.26B,5.64B,1.01,5.56%,45.00,39.12,40.63,41.05,"12,470,300","12,825,100",4.36B,0.56%,59.80%,26.61M,2.00,3.30%,1.27
CCE,19.82,12.05B,18.53,7.29,1.55,12.24,10.46,8.03%,13.40%,7.52%,41.95%,8.02B,33.16,-12.80%,2.97B,1.37B,2.61,-16.50%,301.00M,1.29,4.20B,413.48,1.05,4.36,1.07B,565.25M,1.40,12.02%,53.79,39.05,45.80,44.71,"2,450,500","7,035,440",232.98M,7.88%,86.10%,3.38M,1.70,2.50%,1.06
CTSH,28.18,41.28B,19.49,1.39,3.81,5.01,16.34,13.70%,17.91%,12.24%,19.91%,10.75B,17.67,20.20%,4.12B,2.16B,2.40,9.70%,3.35B,5.49,1.08B,13.14,3.40,13.40,1.51B,953.75M,1.44,51.99%,69.35,42.94,62.09,61.68,"3,074,590","4,226,890",610.52M,0.53%,94.10%,5.60M,1.60,N/A,N/A
CL,27.06,61.95B,22.09,3.18,3.65,134.87,14.30,13.71%,24.45%,18.86%,188.71%,17.02B,18.66,-5.90%,10.11B,4.60B,2.53,39.70%,1.11B,1.23,6.13B,829.23,1.09,0.51,3.20B,2.47B,0.97,5.27%,71.56,62.53,67.22,68.26,"2,983,830","3,457,840",904.57M,0.28%,73.30%,6.91M,2.60,2.30%,1.48
CPGX,N/A,N/A,31.98,-2.85,N/A,N/A,N/A,19.77%,31.34%,N/A,N/A,1.34B,N/A,-1.70%,N/A,542.20M,N/A,-3.00%,7.30M,N/A,1.87B,37.76,2.79,0.00,525.00M,N/A,N/A,N/A,33.00,25.82,29.34,29.45,"2,314,390","2,344,240",NaN,N/A,N/A,6.77M,3.00,1.70%,0.13
CMCSA,17.39,146.60B,15.85,1.32,2.06,2.79,8.27,12.25%,22.33%,6.26%,16.68%,71.12B,28.01,11.30%,47.86B,24.16B,3.38,7.30%,3.63B,1.46,48.52B,90.13,0.76,21.02,18.23B,6.42B,0.82,9.43%,64.99,49.33,62.06,59.11,"14,032,400","16,047,100",2.11B,0.14%,86.80%,32.33M,2.30,1.60%,0.95
CMA,15.32,8.40B,14.09,1.66,3.31,1.12,N/A,22.42%,33.16%,0.85%,7.68%,2.55B,14.40,1.60%,N/A,N/A,3.08,-10.60%,5.96B,33.44,2.90B,N/A,N/A,42.17,N/A,N/A,1.31,-2.76%,53.45,40.09,49.38,47.36,"1,990,800","1,590,000",178.00M,0.54%,87.10%,5.57M,2.60,1.80%,0.81
CSC,N/A,8.95B,12.26,1.38,0.72,3.02,8.82,-0.07%,2.65%,1.86%,1.04%,12.17B,85.39,N/A,2.64B,1.09B,-0.06,N/A,2.10B,15.24,2.67B,90.51,1.36,21.05,1.43B,867.75M,0.75,10.85%,73.29,54.23,66.15,66.23,"1,145,490","995,950",137.85M,0.30%,91.90%,8.74M,9.10,1.40%,0.92
CAG,N/A,19.36B,18.66,3.09,1.22,4.25,12.56,-1.60%,9.74%,5.23%,-12.19%,15.83B,37.16,3.70%,3.31B,2.11B,-0.60,N/A,183.10M,0.43,7.90B,171.47,1.11,10.57,1.48B,1.39B,0.23,43.65%,45.49,30.89,44.24,38.54,"3,550,590","2,320,140",428.85M,0.48%,69.30%,7.33M,1.40,2.30%,1.00
COP,12.14,60.22B,25.44,-648.61,1.31,1.27,5.36,10.62%,13.89%,3.57%,7.75%,47.25B,38.14,-50.40%,21.52B,15.69B,4.02,-87.20%,2.66B,2.16,22.51B,45.93,1.13,39.46,12.27B,-5.26B,0.85,-39.55%,81.88,48.33,56.75,63.10,"6,870,370","10,362,700",1.23B,0.02%,67.20%,28.39M,4.90,5.70%,2.93
CNX,24.35,3.01B,19.06,5.42,0.97,0.62,8.00,3.75%,10.00%,1.80%,2.43%,3.37B,14.64,-14.20%,1.50B,929.37M,0.54,-31.90%,5.32M,0.02,3.41B,64.31,0.49,23.17,829.05M,-481.57M,2.18,-67.50%,42.26,13.07,19.02,27.23,"5,335,110","7,932,880",228.82M,0.78%,99.30%,32.31M,6.00,1.40%,0.26
ED,17.42,19.08B,16.25,6.66,1.46,1.46,9.24,8.64%,17.30%,3.26%,8.74%,12.75B,43.52,-4.60%,5.11B,3.29B,3.74,2.50%,117.00M,0.40,12.71B,99.52,1.00,43.57,3.17B,-539.88M,0.28,16.28%,72.25,55.80,60.85,62.06,"2,346,020","2,309,390",292.88M,0.26%,50.10%,15.82M,7.00,4.30%,2.56
STZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLW,9.97,22.82B,11.77,2.38,2.37,1.21,6.92,26.60%,19.87%,4.09%,11.97%,9.69B,7.56,-1.00%,4.05B,3.12B,1.82,35.20%,5.07B,4.03,3.28B,15.35,4.88,15.09,3.57B,1.25B,1.64,-9.89%,25.16,17.03,19.26,21.83,"10,109,200","10,366,400",1.26B,0.45%,77.70%,42.50M,4.00,2.60%,0.44
COST,27.83,63.84B,25.66,2.93,0.56,6.08,13.52,1.99%,3.07%,6.72%,20.46%,115.94B,263.99,1.20%,14.18B,4.66B,5.22,9.10%,6.80B,15.48,6.03B,55.72,1.05,24.08,4.10B,1.75B,0.76,21.88%,156.85,117.78,142.21,145.16,"1,924,230","1,515,920",439.49M,0.81%,75.70%,4.80M,2.30,1.10%,6.11
CCI,18.46,27.48B,19.02,2.35,7.25,3.69,18.34,40.62%,28.09%,3.18%,7.82%,3.77B,11.33,-1.80%,2.34B,2.09B,4.46,"3,291.30%",338.61M,1.02,11.13B,150.34,1.43,22.23,1.83B,504.83M,0.14,5.88%,89.44,74.45,81.66,84.04,"1,960,750","1,572,050",333.76M,0.76%,96.00%,6.36M,3.60,4.00%,2.81
CSX,14.98,29.47B,13.43,1.88,2.39,2.59,7.99,15.96%,29.94%,7.12%,17.75%,12.50B,12.59,-5.50%,8.57B,4.92B,2.00,4.50%,1.12B,1.14,10.12B,87.46,1.50,11.75,3.48B,331.75M,1.32,0.54%,37.99,29.52,32.14,34.08,"7,791,670","5,838,480",983.74M,0.43%,67.40%,11.36M,1.30,2.30%,0.66
CMI,13.59,22.88B,11.60,1.23,1.17,2.98,8.52,8.71%,10.81%,8.65%,22.55%,19.52B,107.44,6.90%,4.86B,2.58B,9.34,14.50%,2.11B,11.71,1.71B,21.14,2.22,42.74,2.18B,767.62M,1.40,-10.52%,151.25,123.14,129.87,136.88,"1,396,210","1,567,410",180.31M,0.21%,83.40%,7.84M,6.00,3.10%,3.12
CVS,26.41,121.42B,18.26,1.43,0.85,3.29,12.53,3.31%,6.22%,7.58%,12.60%,143.01B,124.57,11.10%,25.37B,10.84B,4.08,8.10%,1.63B,1.45,12.76B,34.50,1.30,32.82,7.95B,5.76B,1.17,37.49%,113.65,77.40,108.46,103.56,"4,228,320","5,402,200",1.13B,0.18%,87.40%,13.10M,2.70,1.30%,1.33
DHI,18.31,10.45B,12.24,0.85,1.13,1.94,13.08,6.11%,10.23%,5.93%,11.66%,9.32B,25.79,38.20%,1.76B,1.00B,1.56,12.90%,665.80M,1.82,3.95B,72.78,8.12,14.78,-564.40M,-573.97M,1.63,37.93%,29.80,19.29,27.91,26.89,"4,520,130","5,858,180",366.62M,10.68%,85.40%,15.32M,3.70,0.90%,0.25
DHR,25.05,62.24B,19.17,2.53,3.08,2.60,12.99,12.85%,17.89%,6.25%,10.87%,20.29B,28.73,3.30%,10.44B,4.60B,3.64,2.80%,3.34B,4.89,3.16B,13.09,1.91,35.26,3.87B,3.18B,1.12,21.07%,92.92,70.12,88.02,86.03,"4,323,300","3,030,810",683.49M,23.04%,69.20%,25.09M,5.30,0.60%,0.47
DRI,13.13,9.09B,20.33,1.65,1.32,3.83,13.56,10.49%,6.35%,4.10%,8.75%,6.76B,52.97,N/A,1.42B,749.00M,5.47,21.70%,535.90M,4.24,1.47B,62.88,0.88,18.48,471.00M,1.37B,0.60,53.19%,75.60,46.03,72.11,66.40,"1,442,570","1,346,800",126.67M,7.53%,79.90%,5.24M,2.90,3.00%,2.20
DVA,40.96,17.41B,19.76,1.72,1.34,3.51,10.03,3.30%,13.84%,6.30%,9.97%,13.03B,61.21,8.10%,3.68B,2.41B,1.98,N/A,1.43B,6.67,8.50B,141.19,1.61,23.12,1.45B,906.27M,0.41,12.86%,85.17,71.43,79.90,79.87,"995,005","996,475",214.94M,2.76%,83.60%,2.62M,2.10,N/A,N/A
DE,13.08,32.00B,18.36,3.79,0.97,3.90,12.65,7.82%,11.73%,4.01%,27.37%,32.94B,94.52,-17.90%,11.29B,5.12B,7.33,-29.60%,3.53B,10.57,37.39B,457.27,2.14,24.48,4.20B,3.57B,0.70,9.97%,98.23,78.88,94.86,91.12,"2,792,980","1,983,100",333.87M,8.37%,65.80%,32.95M,11.00,2.60%,2.40
DLPH,18.99,22.87B,12.49,1.10,1.32,10.40,9.51,7.33%,11.82%,11.56%,46.06%,16.92B,57.07,-2.60%,3.17B,2.58B,4.17,-34.70%,558.00M,1.93,2.72B,102.03,1.49,7.44,2.13B,679.12M,1.03,16.42%,90.57,58.23,81.09,81.11,"2,408,820","2,406,200",288.74M,0.83%,95.70%,5.88M,1.80,1.30%,1.00
DAL,20.50,36.87B,8.65,0.54,0.89,3.83,5.62,4.58%,13.58%,6.62%,17.24%,40.92B,49.90,0.80%,17.40B,7.22B,2.26,85.40%,3.79B,4.77,9.27B,96.94,0.67,12.02,6.32B,3.29B,1.33,26.33%,51.06,30.12,43.39,44.63,"11,610,600","8,030,320",795.40M,0.36%,87.00%,17.99M,1.60,0.80%,0.41
XRAY,25.46,7.80B,19.99,1.79,2.74,3.59,14.67,11.02%,15.92%,5.98%,13.36%,2.85B,20.17,-10.10%,1.60B,578.83M,2.19,-12.20%,101.09M,0.72,1.33B,61.12,1.81,15.53,561.47M,248.39M,1.18,19.80%,57.14,43.83,52.99,51.94,"709,294","1,118,620",139.82M,12.27%,79.80%,4.54M,6.40,0.60%,0.28
DVN,N/A,19.08B,40.36,2.87,1.20,1.10,3.60,-14.03%,29.56%,6.22%,-9.27%,16.50B,40.67,-26.60%,17.23B,8.38B,-5.75,N/A,1.86B,4.52,11.75B,51.05,1.04,43.79,6.22B,-1.78B,1.20,-37.45%,75.63,45.97,54.28,61.13,"3,241,880","4,852,820",411.10M,6.04%,78.90%,6.27M,2.30,1.90%,0.96
DO,N/A,3.02B,64.71,-0.50,1.15,0.73,4.65,-0.55%,22.07%,4.61%,-0.33%,2.65B,19.33,-12.50%,2.74B,1.07B,-0.11,N/A,198.79M,1.45,2.24B,53.70,1.09,30.48,850.38M,-878.06M,0.92,-52.28%,46.59,20.51,24.01,29.11,"1,891,190","2,899,090",137.16M,0.02%,102.10%,13.59M,6.90,2.30%,1.13
DFS,11.32,23.93B,9.54,1.19,3.29,2.08,N/A,31.41%,51.93%,2.73%,19.72%,7.11B,15.80,20.50%,N/A,N/A,4.84,-7.00%,14.05B,32.15,24.24B,215.25,1.65,25.77,N/A,N/A,1.49,-9.16%,66.75,53.20,57.45,58.29,"2,971,770","3,961,750",437.00M,0.54%,N/A,7.13M,2.40,2.00%,1.04
DISCA,17.28,17.99B,14.50,1.20,3.12,3.70,11.12,18.14%,34.61%,8.89%,18.86%,6.39B,9.43,8.90%,4.14B,2.54B,1.70,8.70%,471.00M,0.71,7.49B,123.93,1.40,8.08,1.14B,2.89B,1.58,-30.73%,44.99,28.20,32.73,32.28,"3,485,500","6,108,160",149.30M,1.42%,97.70%,19.88M,7.30,N/A,N/A
